StudentID,Name,Semester,Attendance,Python,SQL,Maths,DBMS,Aptitude,Projects,PowerBI_Skill,Excel_Skill,HTML_CSS_Skill,Java_Skill,Recommended_Career
STU101,Kavya Kumar,6,86.0,72.0,80.0,93,61,66,0,No,No,No,Yes,Needs Skill Improvement
STU102,Nithya Devi,2,73.0,67.0,60.0,59,25,84,1,No,Yes,Yes,Yes,Needs Skill Improvement
STU103,Vignesh Raj,6,97.6,71.0,71.0,52,56,71,2,Yes,Yes,No,No,Needs Skill Improvement
STU104,Arjun Raj,5,72.8,89.0,74.0,63,49,67,2,Yes,No,Yes,No,Data Analyst
STU105,Aishwarya Kumar,1,82.5,45.0,48.0,74,76,72,0,Yes,Yes,Yes,Yes,Software Developer
STU106,Meena Devi,2,89.3,66.0,48.0,59,48,72,3,Yes,No,No,Yes,Needs Skill Improvement
STU107,Kumar Pillai,1,92.4,88.0,56.0,67,69,84,1,Yes,Yes,Yes,No,UI/UX / Frontend
STU108,Preethi Devi,6,90.0,79.0,53.0,70,79,81,2,No,Yes,No,Yes,Software Developer
STU109,Arjun Nair,2,81.0,70.0,71.0,44,61,75,2,No,Yes,Yes,Yes,Needs Skill Improvement
STU110,Dinesh Pillai,3,86.0,92.0,74.0,76,85,72,3,Yes,Yes,Yes,Yes,Data Analyst
STU111,Arun Sharma,6,83.6,78.0,70.0,68,43,63,1,Yes,No,Yes,No,Data Analyst
STU112,Aishwarya Iyer,3,68.7,96.0,69.0,48,48,55,0,No,Yes,Yes,Yes,Needs Skill Improvement
STU113,Anitha Devi,3,77.7,79.0,69.0,55,82,81,1,No,Yes,No,No,Software Developer
STU114,Suresh Raj,4,69.4,76.0,62.0,84,90,83,0,No,Yes,No,Yes,Software Developer
STU115,Suresh Iyer,3,69.0,98.0,57.0,67,77,51,3,No,Yes,Yes,Yes,Software Developer
STU116,Raj Prasad,1,62.7,92.0,90.0,59,74,88,0,Yes,No,No,Yes,Data Analyst
STU117,Revathi Reddy,1,83.5,64.0,99.0,78,47,79,3,Yes,Yes,No,No,Needs Skill Improvement
STU118,Bala Raj,5,85.1,89.0,56.0,74,44,58,1,No,Yes,No,No,Needs Skill Improvement
STU119,Vijay Pillai,3,80.2,96.0,65.0,100,74,57,1,Yes,No,Yes,No,UI/UX / Frontend
STU120,Siva Devi,6,78.5,86.0,62.0,82,80,64,1,Yes,No,No,No,Needs Skill Improvement
STU121,Karthik Kumar,6,69.4,77.0,70.0,55,70,78,2,No,Yes,Yes,No,Data Analyst
STU122,Manoj Prasad,1,83.7,78.0,68.87780548628429,84,86,70,2,No,No,No,Yes,Software Developer
STU123,Manoj Raj,4,70.7,71.0,62.0,73,99,41,1,No,Yes,Yes,No,UI/UX / Frontend
STU124,Nithya Menon,6,69.3,69.0,94.0,73,73,50,0,Yes,Yes,No,No,Needs Skill Improvement
STU125,Keerthi Sharma,3,55.7,77.0,59.0,83,53,68,0,No,No,No,Yes,Needs Skill Improvement
STU126,Ramesh Devi,6,76.0,70.0,75.0,49,79,88,1,No,No,No,No,Software Developer
STU127,Nithya Raj,5,61.8,67.0,90.0,62,71,81,2,Yes,Yes,No,Yes,Software Developer
STU128,Prakash Reddy,6,56.1,55.0,94.0,90,63,63,2,No,No,No,Yes,Needs Skill Improvement
STU129,Deepika Sharma,4,82.4,65.0,71.0,66,66,79,2,No,Yes,No,No,Needs Skill Improvement
STU130,Bala Prasad,6,85.3,73.0,62.0,74,78,63,0,No,Yes,Yes,No,UI/UX / Frontend
STU131,Preethi Devi,6,90.8,79.0,83.0,80,52,61,3,No,No,No,Yes,Data Analyst
STU132,Ganesh Kumar,2,72.0,92.0,94.0,65,58,73,4,No,No,Yes,No,Data Analyst
STU133,Ravi Iyer,4,83.9,73.0,71.0,80,52,100,1,Yes,No,No,No,Needs Skill Improvement
STU134,Nithya Raj,2,71.6,74.0,36.0,96,60,82,1,Yes,No,No,Yes,Needs Skill Improvement
STU135,Siva Iyer,2,82.9,67.0,62.0,75,43,48,3,No,No,No,Yes,Needs Skill Improvement
STU136,Sneha Nair,6,55.6,98.0,65.0,71,54,69,1,Yes,No,No,No,Needs Skill Improvement
STU137,Revathi Sharma,3,78.7,81.0,81.0,66,68,70,0,No,No,No,No,Data Analyst
STU138,Vignesh Devi,6,74.8,100.0,89.0,97,63,84,2,Yes,Yes,No,Yes,Data Analyst
STU139,Preethi Reddy,3,70.9,77.0,75.0,98,79,61,2,Yes,No,No,No,Data Analyst
STU140,Gayathri Nair,5,88.9,97.0,81.0,70,63,65,3,No,Yes,No,Yes,Data Analyst
STU141,Uma Iyer,2,78.6,93.0,44.0,63,65,70,3,No,No,Yes,No,UI/UX / Frontend
STU142,Vignesh Reddy,4,63.6,83.0,86.0,93,52,65,2,No,No,No,No,Data Analyst
STU143,Meena Kumar,1,100.0,100.0,66.0,85,74,90,3,Yes,Yes,Yes,Yes,Software Developer
STU144,Anitha Sharma,6,59.2,96.0,84.0,70,68,37,3,No,No,No,No,Data Analyst
STU145,Aishwarya Pillai,1,59.6,74.0,76.0,71,33,68,2,Yes,Yes,Yes,Yes,Needs Skill Improvement
STU146,Bala Nair,5,66.8,82.0,81.0,67,95,65,1,Yes,Yes,Yes,Yes,Data Analyst
STU147,Revathi Reddy,3,78.7,59.0,61.0,55,94,70,0,No,No,Yes,No,UI/UX / Frontend
STU148,Preethi Kumar,6,90.2,65.0,58.0,80,56,51,2,No,Yes,No,No,Needs Skill Improvement
STU149,Kavya Reddy,3,86.9,79.0,100.0,87,63,55,2,Yes,Yes,Yes,Yes,Data Analyst
STU150,Pooja Raj,3,67.3,65.0,57.0,67,68,83,2,No,Yes,Yes,No,UI/UX / Frontend
STU151,Aishwarya Sharma,4,98.3,83.0,53.0,69,51,49,2,No,Yes,No,No,Needs Skill Improvement
STU152,Arun Prasad,5,75.7,71.0,62.0,63,59,63,1,Yes,No,Yes,No,UI/UX / Frontend
STU153,Lakshmi Reddy,1,83.2,74.0,66.0,59,56,81,1,No,No,No,No,Needs Skill Improvement
STU154,Sowmya Reddy,5,91.2,63.0,60.0,57,69,28,1,Yes,No,Yes,No,UI/UX / Frontend
STU155,Naveen Sharma,3,79.2,56.0,59.0,72,52,64,0,No,Yes,No,Yes,Needs Skill Improvement
STU156,Prakash Reddy,5,93.3,86.0,58.0,100,38,54,4,No,No,Yes,No,UI/UX / Frontend
STU157,Arun Pillai,3,81.0,72.0,88.0,75,70,63,1,Yes,Yes,No,No,Needs Skill Improvement
STU158,Sneha Kumar,1,53.5,80.0,65.0,85,61,89,2,No,Yes,No,No,Needs Skill Improvement
STU159,Keerthi Prasad,2,83.9,71.0,83.0,41,68,81,1,No,No,Yes,Yes,Software Developer
STU160,Divya Devi,5,86.1,93.0,85.0,73,57,76,1,Yes,No,Yes,No,Data Analyst
STU161,Meena Raj,6,85.7,80.0,86.0,64,60,55,3,Yes,Yes,No,No,Data Analyst
STU162,Sneha Raj,5,96.6,90.0,43.0,75,49,62,4,No,Yes,No,No,Needs Skill Improvement
STU163,Vignesh Sharma,6,83.4,58.0,100.0,73,66,80,2,No,No,Yes,No,UI/UX / Frontend
STU164,Mahesh Reddy,2,63.9,100.0,72.0,73,63,81,1,No,No,Yes,No,Data Analyst
STU165,Sathish Reddy,5,80.7,91.0,42.0,93,62,63,3,Yes,Yes,Yes,No,UI/UX / Frontend
STU166,Aishwarya Devi,5,77.2,84.0,90.0,60,42,66,2,Yes,Yes,No,Yes,Data Analyst
STU167,Naveen Prasad,4,77.2,85.0,99.0,87,60,53,0,No,Yes,No,Yes,Data Analyst
STU168,Keerthi Menon,5,70.6,85.0,68.0,74,100,53,0,No,Yes,No,Yes,Software Developer
STU169,Dinesh Raj,2,95.0,43.0,64.0,66,43,58,2,No,Yes,Yes,No,UI/UX / Frontend
STU170,Manoj Raj,3,78.9,75.0,58.0,61,66,68,1,No,Yes,Yes,Yes,Software Developer
STU171,Priya Pillai,5,88.5,81.0,64.0,88,48,79,1,No,Yes,Yes,Yes,Needs Skill Improvement
STU172,Manoj Pillai,2,60.0,100.0,50.0,60,84,43,1,No,Yes,No,Yes,Software Developer
STU173,Arun Raj,6,82.5,73.0,61.0,77,64,86,3,No,Yes,Yes,Yes,Needs Skill Improvement
STU174,Divya Devi,1,100.0,85.0,60.0,66,45,71,1,Yes,No,Yes,No,UI/UX / Frontend
